"","index","origin","ori_latitude","ori_longitude","destination","desti_latitude","desti_longitude","arr_delay","dep_delay","total_routes","route"
"1",0,"ABE",40.652099609375,-75.440803527832,"ATL",33.6366996765137,-84.4281005859375,-3.25806451612903,-0.516129032258065,31,"ABE-ATL"
"2",1,"ABQ",35.0401992797852,-106.609001159668,"ATL",33.6366996765137,-84.4281005859375,-6.3804347826087,3.6304347826087,92,"ABQ-ATL"
"3",2,"ABQ",35.0401992797852,-106.609001159668,"CLT",35.2140007019043,-80.9430999755859,-13.0322580645161,-0.774193548387097,31,"ABQ-CLT"
"4",3,"ABQ",35.0401992797852,-106.609001159668,"DFW",32.896800994873,-97.0380020141602,6.87027027027027,8.64324324324324,185,"ABQ-DFW"
"5",4,"ABQ",35.0401992797852,-106.609001159668,"MSP",44.8819999695,-93.2218017578,-5.64516129032258,-1.87096774193548,31,"ABQ-MSP"
"6",5,"ABQ",35.0401992797852,-106.609001159668,"SLC",40.7883987426758,-111.977996826172,-11.0555555555556,-3.75,36,"ABQ-SLC"
"7",6,"AGS",33.3698997497559,-81.9645004272461,"ATL",33.6366996765137,-84.4281005859375,4.93650793650794,11.7936507936508,63,"AGS-ATL"
"8",7,"ALB",42.7482986450195,-73.8016967773438,"ATL",33.6366996765137,-84.4281005859375,NA,8.18181818181818,88,"ALB-ATL"
"9",8,"ALB",42.7482986450195,-73.8016967773438,"CLT",35.2140007019043,-80.9430999755859,NA,NA,62,"ALB-CLT"
"10",9,"ALB",42.7482986450195,-73.8016967773438,"DTW",42.2123985290527,-83.353401184082,-25.5,-9,2,"ALB-DTW"
"11",10,"ALB",42.7482986450195,-73.8016967773438,"MSP",44.8819999695,-93.2218017578,1.80645161290323,6.25806451612903,31,"ALB-MSP"
"12",11,"ANC",61.1744003295898,-149.996002197266,"ATL",33.6366996765137,-84.4281005859375,NA,15.9677419354839,31,"ANC-ATL"
"13",12,"ANC",61.1744003295898,-149.996002197266,"DFW",32.896800994873,-97.0380020141602,17.6451612903226,26.8387096774194,31,"ANC-DFW"
"14",13,"ANC",61.1744003295898,-149.996002197266,"MSP",44.8819999695,-93.2218017578,3.49019607843137,11.1764705882353,102,"ANC-MSP"
"15",14,"ANC",61.1744003295898,-149.996002197266,"PHX",33.4342994689941,-112.012001037598,NA,NA,31,"ANC-PHX"
"16",15,"ANC",61.1744003295898,-149.996002197266,"SEA",47.4490013122559,-122.30899810791,0.441176470588235,6.85882352941176,170,"ANC-SEA"
"17",16,"ANC",61.1744003295898,-149.996002197266,"SLC",40.7883987426758,-111.977996826172,-10.5483870967742,3.7741935483871,31,"ANC-SLC"
"18",17,"ATL",33.6366996765137,-84.4281005859375,"ABE",40.652099609375,-75.440803527832,2.45161290322581,8,31,"ATL-ABE"
"19",18,"ATL",33.6366996765137,-84.4281005859375,"ABQ",35.0401992797852,-106.609001159668,-5.81521739130435,4.27173913043478,92,"ATL-ABQ"
"20",19,"ATL",33.6366996765137,-84.4281005859375,"AGS",33.3698997497559,-81.9645004272461,6.23809523809524,10.0952380952381,63,"ATL-AGS"
"21",20,"ATL",33.6366996765137,-84.4281005859375,"ALB",42.7482986450195,-73.8016967773438,2.125,8.13636363636364,88,"ATL-ALB"
"22",21,"ATL",33.6366996765137,-84.4281005859375,"ANC",61.1744003295898,-149.996002197266,2.48387096774194,10.1290322580645,31,"ATL-ANC"
"23",22,"ATL",33.6366996765137,-84.4281005859375,"ATW",44.2580986023,-88.5190963745,-3.80645161290323,2.83870967741935,31,"ATL-ATW"
"24",23,"ATL",33.6366996765137,-84.4281005859375,"AUS",30.1944999694824,-97.6698989868164,-5.56338028169014,4.76056338028169,213,"ATL-AUS"
"25",24,"ATL",33.6366996765137,-84.4281005859375,"AVL",35.4361991882324,-82.5418014526367,2.61904761904762,9.58730158730159,63,"ATL-AVL"
"26",25,"ATL",33.6366996765137,-84.4281005859375,"BDL",41.9388999939,-72.6831970215,-0.0447761194029851,8.21393034825871,201,"ATL-BDL"
"27",26,"ATL",33.6366996765137,-84.4281005859375,"BHM",33.56290054,-86.75350189,1.89206349206349,9.52063492063492,315,"ATL-BHM"
"28",27,"ATL",33.6366996765137,-84.4281005859375,"BNA",36.1245002746582,-86.6781997680664,3.13166144200627,9.45141065830721,319,"ATL-BNA"
"29",28,"ATL",33.6366996765137,-84.4281005859375,"BOS",42.36429977,-71.00520325,0.915254237288136,10.045197740113,354,"ATL-BOS"
"30",29,"ATL",33.6366996765137,-84.4281005859375,"BTR",30.53319931,-91.14959717,-11.6851851851852,2.98148148148148,54,"ATL-BTR"
"31",30,"ATL",33.6366996765137,-84.4281005859375,"BTV",44.4719009399,-73.1532974243,4.93548387096774,11.3548387096774,31,"ATL-BTV"
"32",31,"ATL",33.6366996765137,-84.4281005859375,"BUF",42.94049835,-78.73220062,3.57432432432432,9.64189189189189,148,"ATL-BUF"
"33",32,"ATL",33.6366996765137,-84.4281005859375,"BWI",39.17539978,-76.66829681,1.72112676056338,8.33521126760563,355,"ATL-BWI"
"34",33,"ATL",33.6366996765137,-84.4281005859375,"BZN",45.77750015,-111.1529999,0.230769230769231,8.92307692307692,13,"ATL-BZN"
"35",34,"ATL",33.6366996765137,-84.4281005859375,"CAE",33.9388008117676,-81.119499206543,9.40909090909091,12.8636363636364,110,"ATL-CAE"
"36",35,"ATL",33.6366996765137,-84.4281005859375,"CAK",40.9160995483398,-81.4421997070312,NA,3.47413793103448,116,"ATL-CAK"
"37",36,"ATL",33.6366996765137,-84.4281005859375,"CHA",35.0353012084961,-85.2037963867188,3.86440677966102,6.33898305084746,59,"ATL-CHA"
"38",37,"ATL",33.6366996765137,-84.4281005859375,"CHO",38.138599395752,-78.4529037475586,2.7741935483871,8.70967741935484,31,"ATL-CHO"
"39",38,"ATL",33.6366996765137,-84.4281005859375,"CHS",32.89860153,-80.04049683,-0.160990712074303,4.52012383900929,323,"ATL-CHS"
"40",39,"ATL",33.6366996765137,-84.4281005859375,"CLE",41.4117012024,-81.8498001099,0.286324786324786,7.52991452991453,234,"ATL-CLE"
"41",40,"ATL",33.6366996765137,-84.4281005859375,"CLT",35.2140007019043,-80.9430999755859,NA,NA,596,"ATL-CLT"
"42",41,"ATL",33.6366996765137,-84.4281005859375,"CMH",39.9980010986328,-82.8918991088867,NA,7.9272030651341,261,"ATL-CMH"
"43",42,"ATL",33.6366996765137,-84.4281005859375,"COS",38.805801391602,-104.70099639893,8.06451612903226,21.7741935483871,31,"ATL-COS"
"44",43,"ATL",33.6366996765137,-84.4281005859375,"CRW",38.3731002807617,-81.5932006835938,NA,NA,31,"ATL-CRW"
"45",44,"ATL",33.6366996765137,-84.4281005859375,"CVG",39.0488014221,-84.6678009033,3.92452830188679,7.97169811320755,212,"ATL-CVG"
"46",45,"ATL",33.6366996765137,-84.4281005859375,"DAB",29.179899,-81.058098,3.56375838926175,8.61744966442953,149,"ATL-DAB"
"47",46,"ATL",33.6366996765137,-84.4281005859375,"DAL",32.8470993041992,-96.8517990112305,-9.18248175182482,3.81751824817518,137,"ATL-DAL"
"48",47,"ATL",33.6366996765137,-84.4281005859375,"DAY",39.902400970459,-84.2193984985352,9.25409836065574,12.5573770491803,122,"ATL-DAY"
"49",48,"ATL",33.6366996765137,-84.4281005859375,"DCA",38.8521,-77.037697,NA,10.8217592592593,432,"ATL-DCA"
"50",49,"ATL",33.6366996765137,-84.4281005859375,"DEN",39.861698150635,-104.672996521,NA,9.95817490494297,263,"ATL-DEN"
"51",50,"ATL",33.6366996765137,-84.4281005859375,"DFW",32.896800994873,-97.0380020141602,NA,NA,616,"ATL-DFW"
"52",51,"ATL",33.6366996765137,-84.4281005859375,"DSM",41.5340003967285,-93.6631011962891,-4.82417582417582,4.8021978021978,91,"ATL-DSM"
"53",52,"ATL",33.6366996765137,-84.4281005859375,"DTW",42.2123985290527,-83.353401184082,3.96646341463415,7.85975609756098,328,"ATL-DTW"
"54",53,"ATL",33.6366996765137,-84.4281005859375,"ECP",30.357106,-85.795414,1.93582887700535,6.37433155080214,187,"ATL-ECP"
"55",54,"ATL",33.6366996765137,-84.4281005859375,"ELP",31.80719948,-106.3779984,4.46774193548387,14.6935483870968,62,"ATL-ELP"
"56",55,"ATL",33.6366996765137,-84.4281005859375,"EVV",38.0369987488,-87.5324020386,18.4516129032258,20.3870967741935,31,"ATL-EVV"
